id,fold
2018-13536,3
2018-13543,3
2018-13544,3
2018-13549,3
2018-13553,3
2018-13555,3
2018-13557,3
2018-13563,3
2018-13564,3
2018-13568,3
2018-13570,3
2018-13576,3
2018-13578,3
2018-13579,3
2018-13584,3
2018-13587,3
2018-13590,3
2018-13598,3
2018-13600,3
2018-13611,3
2018-13613,3
2018-13619,3
2018-13620,3
2018-13621,3
2018-13628,3
2018-13633,3
2018-13638,3
2018-13646,3
2018-13648,3
2018-13651,3
2018-13659,3
2018-13660,3
2018-13661,3
2018-13662,3
2018-13673,3
2018-13674,3
2018-13681,3
2018-13683,3
2018-13689,3
2018-13701,3
2018-13703,3
2018-13708,3
2018-13712,3
2018-13716,3
2018-13721,3
2018-13722,3
2018-13724,3
2018-13727,3
2018-13729,3
2018-13739,3
2018-13740,3
2018-13746,3
2018-13754,3
2018-13757,3
2018-13761,3
2018-13767,3
2018-13768,3
2018-13771,3
2018-13774,3
2018-14002,3
2018-14003,3
2018-14005,3
2018-10973,4
2018-11335,4
2018-11687,4
2018-12025,4
2018-12068,4
2018-12070,4
2018-12083,4
2018-13069,4
2018-13071,4
2018-13072,4
2018-13073,4
2018-13074,4
2018-13080,4
2018-13086,4
2018-13087,4
2018-13091,4
2018-13113,4
2018-13128,4
2018-13129,4
2018-13130,4
2018-13132,4
2018-13157,4
2018-13167,4
2018-13170,4
2018-13177,4
2018-13178,4
2018-13180,4
2018-13182,4
2018-13193,4
2018-13200,4
2018-13203,4
2018-13205,4
2018-13209,4
2018-13210,4
2018-13216,4
2018-13217,4
2018-13218,4
2018-13224,4
2018-13228,4
2018-13230,4
2018-13326,4
2018-13462,4
2018-13464,4
2018-13465,4
2018-13471,4
2018-13480,4
2018-13486,4
2018-13487,4
2018-13493,4
2018-13496,4
2018-13497,4
2018-13508,4
2018-13512,4
2018-13517,4
2018-13518,4
2018-13522,4
2018-13525,4
2018-13527,4
2018-13529,4
2018-13546,4
2018-13550,4
2018-13552,4
2018-13571,4
2018-13572,4
2018-13573,4
2018-13577,4
2018-13595,4
2018-13597,4
2018-13599,4
2018-13601,4
2018-13604,4
2018-13606,4
2018-13609,4
2018-13615,4
2018-13616,4
2018-13623,4
2018-13629,4
2018-13636,4
2018-13640,4
2018-13645,4
2018-13649,4
2018-13652,4
2018-13663,4
2018-13664,4
2018-13665,4
2018-13667,4
2018-13671,4
2018-13675,4
2018-13677,4
2018-13678,4
2018-13710,4
2018-13711,4
2018-13728,4
2018-13733,4
2018-13737,4
2018-13741,4
2018-13745,4
2018-13752,4
2018-13758,4
2018-13759,4
2018-13762,4
2018-13766,4
2018-13769,4
2018-13773,4
2018-13775,4
2018-13777,4
2018-13778,4
2018-13783,4
2018-14063,4
2018-14089,4
